,1,1_noise_4,1_noise_0.25,1_shift_22050_-20,1_shift_22050_40,2,2_noise_4,2_noise_0.25,2_shift_22050_-20,2_shift_22050_40,3,3_noise_4,3_noise_0.25,3_shift_22050_-20,3_shift_22050_40
1,0.0,0.06184694170951843,0.19218331575393677,0.05904185771942139,0.059598326683044434,0.055852293968200684,0.10540175437927246,0.2655969560146332,0.056610554456710815,0.05835247039794922,0.059740304946899414,0.09229922294616699,0.3451182246208191,0.06272387504577637,0.06132340431213379
1_noise_4,0.06184694170951843,0.0,0.05336028337478638,0.08877816796302795,0.08816796541213989,0.08557641506195068,0.032083481550216675,0.10914278030395508,0.08478456735610962,0.08285567164421082,0.09464001655578613,0.029275059700012207,0.1765236258506775,0.09452813863754272,0.09229278564453125
1_noise_0.25,0.19218331575393677,0.05336028337478638,0.0,0.21219933032989502,0.21048718690872192,0.20626738667488098,0.0656997561454773,0.0325886607170105,0.20485839247703552,0.20251068472862244,0.23609095811843872,0.07029879093170166,0.06278163194656372,0.23478364944458008,0.23166543245315552
1_shift_22050_-20,0.05904185771942139,0.08877816796302795,0.21219933032989502,0.0,0.06038898229598999,0.05662691593170166,0.10369420051574707,0.26253414154052734,0.05633735656738281,0.05807003378868103,0.06025040149688721,0.09212017059326172,0.34494292736053467,0.06039142608642578,0.061357855796813965
1_shift_22050_40,0.059598326683044434,0.08816796541213989,0.21048718690872192,0.06038898229598999,0.0,0.05726024508476257,0.10412344336509705,0.2629954516887665,0.057025909423828125,0.05060160160064697,0.06200575828552246,0.0888897180557251,0.34115731716156006,0.06108593940734863,0.0542944073677063
2,0.055852293968200684,0.08557641506195068,0.20626738667488098,0.05662691593170166,0.05726024508476257,0.0,0.06677821278572083,0.2291584312915802,0.0453299880027771,0.04735440015792847,0.05029541254043579,0.08482909202575684,0.33688682317733765,0.05097401142120361,0.052536964416503906
2_noise_4,0.10540175437927246,0.032083481550216675,0.0656997561454773,0.10369420051574707,0.10412344336509705,0.06677821278572083,0.0,0.07102248072624207,0.09190031886100769,0.0921773612499237,0.1072850227355957,0.029679954051971436,0.15913379192352295,0.10579472780227661,0.10573989152908325
2_noise_0.25,0.2655969560146332,0.10914278030395508,0.0325886607170105,0.26253414154052734,0.2629954516887665,0.2291584312915802,0.07102248072624207,0.0,0.25006380677223206,0.24938851594924927,0.29038119316101074,0.10270261764526367,0.04941225051879883,0.28842002153396606,0.28734874725341797
2_shift_22050_-20,0.056610554456710815,0.08478456735610962,0.20485839247703552,0.05633735656738281,0.057025909423828125,0.0453299880027771,0.09190031886100769,0.25006380677223206,0.0,0.04997941851615906,0.05020582675933838,0.08437490463256836,0.3375241160392761,0.05093342065811157,0.05325663089752197
2_shift_22050_40,0.05835247039794922,0.08285567164421082,0.20251068472862244,0.05807003378868103,0.05060160160064697,0.04735440015792847,0.0921773612499237,0.24938851594924927,0.04997941851615906,0.0,0.05098062753677368,0.08075648546218872,0.33293986320495605,0.05306762456893921,0.045236825942993164
3,0.059740304946899414,0.09464001655578613,0.23609095811843872,0.06025040149688721,0.06200575828552246,0.05029541254043579,0.1072850227355957,0.29038119316101074,0.05020582675933838,0.05098062753677368,0.0,0.06822621822357178,0.3613622188568115,0.038453102111816406,0.039085328578948975
3_noise_4,0.09229922294616699,0.029275059700012207,0.07029879093170166,0.09212017059326172,0.0888897180557251,0.08482909202575684,0.029679954051971436,0.10270261764526367,0.08437490463256836,0.08075648546218872,0.06822621822357178,0.0,0.14440524578094482,0.09108847379684448,0.08841538429260254
3_noise_0.25,0.3451182246208191,0.1765236258506775,0.06278163194656372,0.34494292736053467,0.34115731716156006,0.33688682317733765,0.15913379192352295,0.04941225051879883,0.3375241160392761,0.33293986320495605,0.3613622188568115,0.14440524578094482,0.0,0.3819584846496582,0.3774333596229553
3_shift_22050_-20,0.06272387504577637,0.09452813863754272,0.23478364944458008,0.06039142608642578,0.06108593940734863,0.05097401142120361,0.10579472780227661,0.28842002153396606,0.05093342065811157,0.05306762456893921,0.038453102111816406,0.09108847379684448,0.3819584846496582,0.0,0.03979367017745972
3_shift_22050_40,0.06132340431213379,0.09229278564453125,0.23166543245315552,0.061357855796813965,0.0542944073677063,0.052536964416503906,0.10573989152908325,0.28734874725341797,0.05325663089752197,0.045236825942993164,0.039085328578948975,0.08841538429260254,0.3774333596229553,0.03979367017745972,0.0
