,1,1_noise_4,1_noise_0.25,1_shift_22050_-20,1_shift_22050_40,2,2_noise_4,2_noise_0.25,2_shift_22050_-20,2_shift_22050_40,3,3_noise_4,3_noise_0.25,3_shift_22050_-20,3_shift_22050_40
1,0.0,0.01499493100030044,0.020476784290193156,0.00183438109193262,0.0032492570858141845,0.00745447550477566,0.016307360226375776,0.021346280487414444,0.007403567885551458,0.00789222917777701,0.009300297746871517,0.018197760979165513,0.023730797522198897,0.009487070457951557,0.00969077837057334
1_noise_4,0.01499493100030044,0.0,0.006041815326120425,0.016150927153993955,0.01648370960495912,0.01625764636989927,0.0026110823023762757,0.0070446190721216205,0.01634519343933045,0.016934156677610196,0.012424355777508824,0.003360696236452068,0.008749006871570748,0.012554106703674628,0.012767855583852118
1_noise_0.25,0.020476784290193156,0.006041815326120425,0.0,0.021047986160454644,0.021386739834541122,0.021240740341972337,0.0058008387923888785,0.0015989456314439102,0.021325106209996066,0.021944756557277813,0.017700627405254073,0.004823371654561707,0.0027040165551816112,0.017857060536694138,0.018085945265678822
1_shift_22050_-20,0.00183438109193262,0.016150927153993955,0.021047986160454644,0.0,0.0017033331615849813,0.007603228582768027,0.016645402082592933,0.021713484287390478,0.007319149763368588,0.008107105465917494,0.009256272542009204,0.01817202709670437,0.023709945981517367,0.009467406520967454,0.009568544421805233
1_shift_22050_40,0.0032492570858141845,0.01648370960495912,0.021386739834541122,0.0017033331615849813,0.0,0.007095318563304424,0.016967427512608404,0.022057849066171416,0.007477445537068055,0.0068927897165315406,0.00992278886629298,0.018955574049012304,0.024538791336338944,0.010082886156257347,0.009203342031343199
2,0.00745447550477566,0.01625764636989927,0.021240740341972337,0.007603228582768027,0.007095318563304424,0.0,0.013667239772968173,0.018532114242485073,0.0012523754104679086,0.0018242482006007401,0.008785525876672421,0.018662961806980273,0.024329524521285187,0.008975648288540057,0.009209613932999145
2_noise_4,0.016307360226375776,0.0026110823023762757,0.0058008387923888785,0.016645402082592933,0.016967427512608404,0.013667239772968173,0.0,0.005287946525928463,0.014480129053092086,0.014703729240765694,0.012876243523463959,0.002900137588114922,0.008169823341758958,0.013016896078778721,0.013234805542390132
2_noise_0.25,0.021346280487414444,0.0070446190721216205,0.0015989456314439102,0.021713484287390478,0.022057849066171416,0.018532114242485073,0.005287946525928463,0.0,0.01895270054611015,0.019174389811597824,0.01842217096449419,0.005540049406356439,0.002086602811846168,0.018574353117852313,0.018812864915289718
2_shift_22050_-20,0.007403567885551458,0.01634519343933045,0.021325106209996066,0.007319149763368588,0.007477445537068055,0.0012523754104679086,0.014480129053092086,0.01895270054611015,0.0,0.0021658287863800347,0.008807292877090344,0.018710176967844352,0.024385053256471362,0.009041197026145741,0.009182133231795135
2_shift_22050_40,0.00789222917777701,0.016934156677610196,0.021944756557277813,0.008107105465917494,0.0068927897165315406,0.0018242482006007401,0.014703729240765694,0.019174389811597824,0.0021658287863800347,0.0,0.009507479115122756,0.01941621020712799,0.025148903161991334,0.009678003312147984,0.008801389841150883
3,0.009300297746871517,0.012424355777508824,0.017700627405254073,0.009256272542009204,0.00992278886629298,0.008785525876672421,0.012876243523463959,0.01842217096449419,0.008807292877090344,0.009507479115122756,0.0,0.013346199141468172,0.019580967020648873,0.0010069764299530058,0.0026237221517754396
3_noise_4,0.018197760979165513,0.003360696236452068,0.004823371654561707,0.01817202709670437,0.018955574049012304,0.018662961806980273,0.002900137588114922,0.005540049406356439,0.018710176967844352,0.01941621020712799,0.013346199141468172,0.0,0.00663538040234796,0.014039138855998626,0.014246737647082841
3_noise_0.25,0.023730797522198897,0.008749006871570748,0.0027040165551816112,0.023709945981517367,0.024538791336338944,0.024329524521285187,0.008169823341758958,0.002086602811846168,0.024385053256471362,0.025148903161991334,0.019580967020648873,0.00663538040234796,0.0,0.01986644726494744,0.020101354185431956
3_shift_22050_-20,0.009487070457951557,0.012554106703674628,0.017857060536694138,0.009467406520967454,0.010082886156257347,0.008975648288540057,0.013016896078778721,0.018574353117852313,0.009041197026145741,0.009678003312147984,0.0010069764299530058,0.014039138855998626,0.01986644726494744,0.0,0.002282303635484366
3_shift_22050_40,0.00969077837057334,0.012767855583852118,0.018085945265678822,0.009568544421805233,0.009203342031343199,0.009209613932999145,0.013234805542390132,0.018812864915289718,0.009182133231795135,0.008801389841150883,0.0026237221517754396,0.014246737647082841,0.020101354185431956,0.002282303635484366,0.0
