,1,1_noise_4,1_noise_0.25,1_shift_22050_-20,1_shift_22050_40,2,2_noise_4,2_noise_0.25,2_shift_22050_-20,2_shift_22050_40,3,3_noise_4,3_noise_0.25,3_shift_22050_-20,3_shift_22050_40
1,0.01766696864788414,0.0,0.0,0.0,0.0,0.0,4.602131891577454e-07,0.0,0.0,0.0,0.0,2.5018300887098914e-07,0.0,0.0,0.0
1_noise_4,0.0,0.026231359470318877,0.00017090104463778562,0.0,3.4701618136453705e-07,0.0,0.0,0.0,0.0,5.835905995226229e-07,0.0,4.1606649075375436e-07,0.0,0.0,0.0
1_noise_0.25,0.0,0.00017090104463778562,0.0259871056558072,4.331183045324098e-07,0.0,0.0,1.7108083740648294e-07,0.0,0.0,0.0,0.0,4.1606649075375436e-07,0.0,0.0,0.0
1_shift_22050_-20,0.0,0.0,4.331183045324098e-07,0.028383826793742278,0.02598134507134752,0.0,4.758954210294379e-07,0.0,0.0,0.0,1.1033995740877643e-06,0.0,0.0,0.0,0.0
1_shift_22050_40,0.0,3.4701618136453705e-07,0.0,0.02598134507134752,0.028748126444627268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.01805711428489083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_noise_4,4.602131891577454e-07,0.0,1.7108083740648294e-07,4.758954210294379e-07,0.0,0.0,0.02666911087937916,0.00011491710288546654,5.00644329251747e-07,0.0,0.0,9.971841513932956e-08,1.2579480301414412e-07,4.2513210980312135e-07,0.0
2_noise_0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.00011491710288546654,0.026254983233543534,5.991317382848776e-07,0.0,5.290271930557774e-07,0.0,0.0,0.0,0.0
2_shift_22050_-20,0.0,0.0,0.0,0.0,0.0,0.0,5.00644329251747e-07,5.991317382848776e-07,0.031130339521476872,0.02892395611562986,0.0,4.106408543300846e-07,5.991317382848776e-07,0.0,5.048684464289141e-07
2_shift_22050_40,0.0,5.835905995226229e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.02892395611562986,0.031120129480016454,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,1.1033995740877643e-06,0.0,0.0,0.0,5.290271930557774e-07,0.0,0.0,0.01656511814757174,0.0,0.0,0.0,0.0
3_noise_4,2.5018300887098914e-07,4.1606649075375436e-07,4.1606649075375436e-07,0.0,0.0,0.0,9.971841513932956e-08,0.0,4.106408543300846e-07,0.0,0.0,0.026694822411836447,6.198176807212341e-05,1.6484250123219772e-06,1.5378834762725042e-06
3_noise_0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.2579480301414412e-07,0.0,5.991317382848776e-07,0.0,0.0,6.198176807212341e-05,0.02624924259281446,0.0,0.0
3_shift_22050_-20,0.0,0.0,0.0,0.0,0.0,0.0,4.2513210980312135e-07,0.0,0.0,0.0,0.0,1.6484250123219772e-06,0.0,0.032974378125904265,0.030678853753540035
3_shift_22050_40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.048684464289141e-07,0.0,0.0,1.5378834762725042e-06,0.0,0.030678853753540035,0.03347140859837697
