,1,1_noise_4,1_noise_0.25,1_shift_22050_-20,1_shift_22050_40,2,2_noise_4,2_noise_0.25,2_shift_22050_-20,2_shift_22050_40,3,3_noise_4,3_noise_0.25,3_shift_22050_-20,3_shift_22050_40
1,0.02923988792569112,0.0032898003624930064,0.0007434036292637955,0.0022930191587163685,0.002197985549114913,4.62558224516511e-07,0.0,0.0,0.0,8.024123725568549e-07,0.0,0.0,0.0,0.0,0.0
1_noise_4,0.0032898003624930064,0.02653006292147515,0.00016654960263475026,0.0,3.5321136238567437e-07,0.0,0.0,0.0,0.0,6.542747037771279e-07,0.0,7.320959263313635e-07,0.0,0.0,0.0
1_noise_0.25,0.0007434036292637955,0.00016654960263475026,0.02614735442091221,4.4281370915818455e-07,0.0,0.0,1.7223769490848152e-07,0.0,0.0,0.0,0.0,4.17901915077316e-07,0.0,0.0,0.0
1_shift_22050_-20,0.0022930191587163685,0.0,4.4281370915818455e-07,0.028882076940807248,0.026425354021253577,0.0,4.6365200135386385e-07,0.0,0.0,0.0,0.0,5.118236378581614e-07,0.0,0.0,0.0
1_shift_22050_40,0.002197985549114913,3.5321136238567437e-07,0.0,0.026425354021253577,0.02905853511656022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4.62558224516511e-07,0.0,0.0,0.0,0.0,0.03396038782056177,0.002581639294807725,0.0005529386395822625,0.0027291163622830453,1.149401506635495e-06,0.0,0.0,0.0,5.659918157583442e-07,5.94958323169462e-07
2_noise_4,0.0,0.0,1.7223769490848152e-07,4.6365200135386385e-07,0.0,0.002581639294807725,0.026974686846489078,0.00011528200719243762,1.161724198330537e-06,0.0,0.0,1.0015831022514186e-07,1.210833472377377e-07,4.581838508519929e-07,0.0
2_noise_0.25,0.0,0.0,0.0,0.0,0.0,0.0005529386395822625,0.00011528200719243762,0.02659150529698988,7.1836293706997e-07,0.0,0.0,0.0,0.0,0.0,0.0
2_shift_22050_-20,0.0,0.0,0.0,0.0,0.0,0.0027291163622830453,1.161724198330537e-06,7.1836293706997e-07,0.03352481462481611,0.031063444964186063,1.6833486518060647e-06,4.6007513947177853e-07,6.299490371228968e-07,0.0,0.0
2_shift_22050_40,8.024123725568549e-07,6.542747037771279e-07,0.0,0.0,0.0,1.149401506635495e-06,0.0,0.0,0.031063444964186063,0.03352124994180849,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6833486518060647e-06,0.0,0.034316980366991184,0.0019126737209533362,0.000373120041150078,0.0029956254740144193,0.002940579348627767
3_noise_4,0.0,7.320959263313635e-07,4.17901915077316e-07,5.118236378581614e-07,0.0,0.0,1.0015831022514186e-07,0.0,4.6007513947177853e-07,0.0,0.0019126737209533362,0.02680782028396413,6.37269400864966e-05,1.3002514686340338e-06,1.748149147090518e-06
3_noise_0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.210833472377377e-07,0.0,6.299490371228968e-07,0.0,0.000373120041150078,6.37269400864966e-05,0.026341900632897784,0.0,0.0
3_shift_22050_-20,0.0,0.0,0.0,0.0,0.0,5.659918157583442e-07,4.581838508519929e-07,0.0,0.0,0.0,0.0029956254740144193,1.3002514686340338e-06,0.0,0.03454053936142734,0.032039330501782794
3_shift_22050_40,0.0,0.0,0.0,0.0,0.0,5.94958323169462e-07,0.0,0.0,0.0,0.0,0.002940579348627767,1.748149147090518e-06,0.0,0.032039330501782794,0.03503574291375301
