,1,1_noise_4,1_noise_0.25,1_shift_22050_-20,1_shift_22050_40,2,2_noise_4,2_noise_0.25,2_shift_22050_-20,2_shift_22050_40,3,3_noise_4,3_noise_0.25,3_shift_22050_-20,3_shift_22050_40
1,0.0,0.06881749629974365,0.2602097988128662,0.08694082498550415,0.0872984230518341,0.08416390419006348,0.14484313130378723,0.8102777153253555,0.08425098657608032,0.08674442768096924,0.0888214111328125,0.15562647581100464,1.677068293094635,0.09363329410552979,0.09171247482299805
1_noise_4,0.06881749629974365,0.0,0.1723661720752716,0.12749150395393372,0.12481668591499329,0.11839097738265991,0.09131500124931335,0.7583180814981461,0.1167481541633606,0.11520013213157654,0.09699267148971558,0.09545189142227173,1.7325342297554016,0.09675079584121704,0.09428101778030396
1_noise_0.25,0.2602097988128662,0.1723661720752716,0.0,0.38117238879203796,0.37857747077941895,0.3719068467617035,0.3142891526222229,0.7799516692757607,0.37233346700668335,0.36899304389953613,0.33044254779815674,0.2951967120170593,1.5402690768241882,0.32943397760391235,0.3256097435951233
1_shift_22050_-20,0.08694082498550415,0.12749150395393372,0.38117238879203796,0.0,0.08935859799385071,0.08427545428276062,0.14202508330345154,0.8112825751304626,0.08424821496009827,0.087156742811203,0.08918511867523193,0.1552046537399292,1.6796656847000122,0.09014332294464111,0.09165889024734497
1_shift_22050_40,0.0872984230518341,0.12481668591499329,0.37857747077941895,0.08935859799385071,0.0,0.08560290932655334,0.14036864042282104,0.8120500594377518,0.0849352478981018,0.07593598961830139,0.09179729223251343,0.15115821361541748,1.7006955742835999,0.09172683954238892,0.08056581020355225
2,0.08416390419006348,0.11839097738265991,0.3719068467617035,0.08427545428276062,0.08560290932655334,0.0,0.06525593996047974,0.7019937485456467,0.06785476207733154,0.0709078311920166,0.07609272003173828,0.13947665691375732,1.6848725080490112,0.07638221979141235,0.07912939786911011
2_noise_4,0.14484313130378723,0.09131500124931335,0.3142891526222229,0.14202508330345154,0.14036864042282104,0.06525593996047974,0.0,0.5998552143573761,0.11733287572860718,0.11827632784843445,0.10506397485733032,0.10337316989898682,1.7217360138893127,0.10236489772796631,0.10290950536727905
2_noise_0.25,0.8102777153253555,0.7583180814981461,0.7799516692757607,0.8112825751304626,0.8120500594377518,0.7019937485456467,0.5998552143573761,0.0,0.7879960462450981,0.7888284623622894,0.7685484737157822,0.7312884628772736,1.0523990131914616,0.7687668055295944,0.7709706276655197
2_shift_22050_-20,0.08425098657608032,0.1167481541633606,0.37233346700668335,0.08424821496009827,0.0849352478981018,0.06785476207733154,0.11733287572860718,0.7879960462450981,0.0,0.07511472702026367,0.07608908414840698,0.13976991176605225,1.6825987100601196,0.07741349935531616,0.08113104104995728
2_shift_22050_40,0.08674442768096924,0.11520013213157654,0.36899304389953613,0.087156742811203,0.07593598961830139,0.0709078311920166,0.11827632784843445,0.7888284623622894,0.07511472702026367,0.0,0.07729542255401611,0.13573932647705078,1.6979731321334839,0.08142369985580444,0.06936180591583252
3,0.0888214111328125,0.09699267148971558,0.33044254779815674,0.08918511867523193,0.09179729223251343,0.07609272003173828,0.10506397485733032,0.7685484737157822,0.07608908414840698,0.07729542255401611,0.0,0.04921823740005493,1.6240829229354858,0.06705957651138306,0.06748563051223755
3_noise_4,0.15562647581100464,0.09545189142227173,0.2951967120170593,0.1552046537399292,0.15115821361541748,0.13947665691375732,0.10337316989898682,0.7312884628772736,0.13976991176605225,0.13573932647705078,0.04921823740005493,0.0,1.612152636051178,0.10238492488861084,0.10145491361618042
3_noise_0.25,1.677068293094635,1.7325342297554016,1.5402690768241882,1.6796656847000122,1.7006955742835999,1.6848725080490112,1.7217360138893127,1.0523990131914616,1.6825987100601196,1.6979731321334839,1.6240829229354858,1.612152636051178,0.0,1.6850329041481018,1.6942171454429626
3_shift_22050_-20,0.09363329410552979,0.09675079584121704,0.32943397760391235,0.09014332294464111,0.09172683954238892,0.07638221979141235,0.10236489772796631,0.7687668055295944,0.07741349935531616,0.08142369985580444,0.06705957651138306,0.10238492488861084,1.6850329041481018,0.0,0.06920462846755981
3_shift_22050_40,0.09171247482299805,0.09428101778030396,0.3256097435951233,0.09165889024734497,0.08056581020355225,0.07912939786911011,0.10290950536727905,0.7709706276655197,0.08113104104995728,0.06936180591583252,0.06748563051223755,0.10145491361618042,1.6942171454429626,0.06920462846755981,0.0
